DATE,CPIAUCSL,UNRATE,PCEPI
2020-01-01,259.127,3.6,104.49
2020-02-01,259.25,3.5,104.573
2020-03-01,258.076,4.4,104.271
2020-04-01,256.032,14.8,103.838
2020-05-01,255.802,13.2,103.942
2020-06-01,257.042,11.0,104.27
2020-07-01,258.352,10.2,104.578
2020-08-01,259.316,8.4,104.87
2020-09-01,259.997,7.8,105.057
2020-10-01,260.319,6.9,105.151
2020-11-01,260.911,6.7,105.258
2020-12-01,262.045,6.7,105.699
2021-01-01,262.639,6.4,106.147
2021-02-01,263.573,6.2,106.5
2021-03-01,264.847,6.1,107.054
2021-04-01,266.625,6.1,107.618
2021-05-01,268.404,5.8,108.175
2021-06-01,270.71,5.9,108.76
2021-07-01,271.965,5.4,109.256
2021-08-01,272.752,5.1,109.674
2021-09-01,273.942,4.7,110.034
2021-10-01,276.528,4.5,110.762
2021-11-01,278.824,4.2,111.5
2021-12-01,280.806,3.9,112.191
2022-01-01,282.542,4.0,112.805
2022-02-01,284.525,3.8,113.471
2022-03-01,287.467,3.7,114.469
2022-04-01,288.582,3.7,114.812
2022-05-01,291.299,3.6,115.525
2022-06-01,295.072,3.6,116.638
2022-07-01,294.94,3.5,116.631
2022-08-01,295.162,3.6,116.956
2022-09-01,296.421,3.5,117.371
2022-10-01,297.979,3.6,117.919
2022-11-01,298.708,3.6,118.224
2022-12-01,298.808,3.5,118.384
2023-01-01,300.456,3.5,119.018
2023-02-01,301.476,3.6,119.369
2023-03-01,301.643,3.5,119.538
2023-04-01,302.858,3.4,119.951
2023-05-01,303.316,3.6,120.15
2023-06-01,304.099,3.6,120.469
2023-07-01,304.615,3.5,120.607
2023-08-01,306.138,3.7,120.97
2023-09-01,307.374,3.8,121.419
2023-10-01,307.653,3.9,121.484
2023-11-01,308.087,3.7,121.493
2023-12-01,308.735,3.8,121.66
2024-01-01,309.794,3.7,122.23
2024-02-01,311.022,3.9,122.598
2024-03-01,312.107,3.9,123.038
2024-04-01,313.016,3.9,123.341
2024-05-01,313.14,4.0,123.348
2024-06-01,313.131,4.1,123.539
2024-07-01,313.566,4.2,123.736
2024-08-01,314.131,4.2,123.889
2024-09-01,314.851,4.1,124.164
2024-10-01,315.564,4.1,124.494
2024-11-01,316.449,4.2,124.637
2024-12-01,317.603,4.1,124.979
2025-01-01,319.086,4.0,125.417
2025-02-01,319.775,4.1,125.921
2025-03-01,319.615,4.2,125.941
2025-04-01,320.321,4.2,126.15
2025-05-01,320.58,4.2,126.38
2025-06-01,321.5,4.1,126.743
2025-07-01,322.132,4.2,126.955
2025-08-01,323.364,4.3,127.283
2025-09-01,324.368,4.4,127.625
2025-10-01,,,
2025-11-01,325.031,4.6,
